"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"1",2,1,1,"Oakland",0,7,"t",55,3,30,57,4.71,"f",0
"2",1,1,1,"Oakland",0,1,"t",66,7,100,52,4.87,"f",0
"3",2,1,1,"Oakland",0,1,"t",141,7,180,18,5,"f",0
"4",4,2,2,"Oakland",0,4,"t",200,5,30,36,4.63,"f",1
"5",2,2,2,"Oakland",0,3,"t",204,28,1125,3,4.33,"f",1
"6",4,3,3,"Oakland",0,3,"t",204,28,1125,172,4.48,"f",1
"7",4,2,3,"Oakland",0,1,"t",125,7,29,35,4.89,"f",1
"8",2,1,1,"Oakland",0,2,"t",245,14,29,23,5,"f",1
"9",4,2,4,"Oakland",0,2,"t",185,60,180,17,4.94,"f",1
"10",1,1,1,"Oakland",0,4,"t",41,7,300,38,4.63,"f",0
"11",2,1,1,"Oakland",0,1,"t",188,3,60,229,4.87,"f",0
"12",2,1,1,"Oakland",0,1,"t",99,10,150,12,5,"f",1
"13",2,1,1,"Oakland",0,1,"t",160,1,14,10,5,"f",1
"14",2,1,1,"Oakland",0,1,"t",115,2,365,193,4.65,"f",0
"15",2,1,1,"Oakland",0,2,"t",69,3,120,303,4.74,"t",0
"16",2,1,1,"Oakland",0,2,"t",139,2,60,209,4.51,"f",0
"17",4,2,2,"Oakland",0,1,"t",138,4,28,28,4.75,"f",1
"18",2,1,1,"Oakland",0,2,"t",106,2,32,116,4.64,"f",1
"19",2,1,2,"Oakland",0,1,"t",77,2,29,200,4.9,"f",1
"20",3,1,2,"Oakland",0,3,"t",99,61,365,8,4.88,"f",1
"21",2,1,1,"Oakland",0,1,"t",85,3,14,4,5,"f",0
"22",4,2,3,"Oakland",0,2,"t",189,3,7,195,4.81,"t",1
"23",2,1,1,"Oakland",0,1,"t",75,7,90,14,4.93,"f",0
"24",2,1,1,"Oakland",0,2,"t",54,1,5,408,4.8,"f",0
"25",5,2,1,"Oakland",0,4,"t",80,3,1125,38,4.89,"f",1
"26",4,2,2,"Oakland",0,2,"t",495,3,30,13,4.77,"f",1
"27",6,4,5,"Oakland",0,1,"t",350,4,30,5,4.8,"f",1
"28",1,1,1,"Oakland",0,1,"t",137,21,1125,28,5,"f",0
"29",2,1,2,"Oakland",0,1,"t",62,21,1125,33,4.71,"f",1
"30",2,1,1,"Oakland",0,1,"t",89,2,60,328,4.83,"f",1
"31",6,3,3,"Oakland",0,1,"t",699,4,1125,17,4.94,"f",1
"32",2,1,1,"Oakland",0,1,"t",90,6,100,22,4.71,"f",1
"33",3,1,1,"Oakland",0,2,"t",315,3,1125,4,5,"f",1
"34",4,2,2,"Oakland",0,1,"t",150,30,90,19,4.71,"f",1
"35",4,1,2,"Oakland",0,1,"t",166,30,90,156,4.88,"f",0
"36",2,1,1,"Oakland",0,1,"t",100,30,33,75,4.96,"f",0
"37",2,1,1,"Oakland",0,1,"t",135,1,1125,1,5,"f",0
"38",4,2,4,"Oakland",0,1,"t",204,3,60,105,4.91,"f",1
"39",4,1,2,"Oakland",0,10,"t",145,2,60,437,4.95,"f",1
"40",2,1,1,"Oakland",0,3,"t",120,1,1125,48,4.4,"f",0
"41",2,4,3,"Oakland",0,3,"t",108,3,14,1,5,"f",0
"42",2,1,1,"Oakland",0,1,"t",87,1,1125,61,4.88,"f",1
"43",2,1,1,"Oakland",0,1,"t",75,3,30,130,4.65,"f",0
"44",2,1,1,"Oakland",0,4,"t",95,180,365,6,5,"f",0
"45",2,1,1,"Oakland",0,1,"t",90,3,29,245,4.87,"f",0
"46",1,1,2,"Oakland",0,1,"t",75,20,90,2,5,"f",0
"47",1,1,1,"Oakland",0,1,"t",60,1,6,540,4.88,"f",0
"48",2,1,1,"Oakland",0,1,"t",158,3,90,153,4.91,"f",1
"49",6,2,2,"Oakland",0,3,"t",100,31,180,15,4.6,"f",1
"50",2,1,1,"Oakland",0,3,"t",110,7,180,112,4.91,"f",1
"51",4,2,2,"Oakland",0,2,"t",155,3,12,89,4.82,"f",1
"52",4,1,2,"Oakland",0,2,"t",140,2,12,421,4.83,"f",1
